id	category_id	course_name	skills	target_role	difficulty_level	short_description	prerequisites	learner_count	price	rating
1	1	Vue3 从入门到精通	Vue3,JavaScript,Pinia,VueRouter,Web前端	前端开发工程师	1	全面掌握Vue3核心语法、组合式API、Pinia状态管理、Vue Router等	HTML/CSS基础,JavaScript基础	12580	199.00	0.00
2	1	React18 实战教程	React18,Hooks,Redux,Next.js,前端工程化	前端开发工程师	2	深入学习React18新特性、Hooks、Redux、Next.js等	JavaScript高级,ES6语法	9850	249.00	0.00
3	1	TypeScript 高级编程	TypeScript,泛型编程,装饰器,类型系统,Node.js	资深前端工程师	3	掌握TypeScript高级类型、泛型、装饰器等高级特性	JavaScript基础,Vue或React实战经验	7560	149.00	0.00
4	2	Java SpringBoot 实战	Java,SpringBoot,微服务,MyBatis,SpringCloud	Java后端工程师	2	从零开始学习SpringBoot，掌握微服务架构设计	Java核心编程,MySQL基础	15680	299.00	0.00
5	2	Python 全栈开发	Python,Django,Flask,Web全栈,RESTful API	Python全栈工程师	1	Python基础、Django/Flask框架、数据库、API开发	计算机基础,Python语法基础	18920	229.00	0.00
6	2	Node.js 后端开发	Node.js,Express,MongoDB,WebSocket,Koa	全栈开发工程师	2	Express/Koa框架、MongoDB、WebSocket、微服务	JavaScript编程,HTTP网络基础	8450	189.00	0.00
7	3	Flutter 跨平台开发	Flutter,Dart,移动端开发,iOS,Android,跨平台	移动端开发工程师	2	使用Flutter开发iOS和Android应用	面向对象编程,移动应用基础	6780	269.00	0.00
8	4	MySQL 数据库优化	MySQL,索引优化,SQL调优,分库分表,InnoDB	数据库专家/后端架构师	3	索引优化、查询优化、分库分表、主从复制	SQL基础,关系数据库原理	11230	169.00	0.00
9	5	Docker 容器化实战	Docker,DockerCompose,K8s,DevOps,容器编排	DevOps/运维工程师	2	Docker基础、Docker Compose、K8s入门	Linux系统常用命令	9870	159.00	0.00
10	6	机器学习入门	机器学习,Python,Scikit-learn,TensorFlow,数据挖掘	AI算法工程师	1	Python机器学习、Scikit-learn、TensorFlow基础	Python基础,高等数学与统计基础	14560	349.00	0.00
11	6	深度学习实战	深度学习,PyTorch,Transformer,CNN,NLP,大模型	大模型/AI算法工程师	3	PyTorch、CNN、RNN、Transformer架构	机器学习基础,Python,线性代数	8920	399.00	0.00
12	1	Web前端性能优化	前端性能优化,WebVitals,渲染优化,CDN缓存,监控	资深前端架构师	3	加载优化、渲染优化、缓存策略、性能监控	前端框架项目实战,浏览器原理	5680	129.00	0.00
13	2	Go语言并发编程	Go,Goroutine,Channel,高并发,网络编程,微服务	Go后端开发工程师	3	Goroutine、Channel、并发模式、性能调优	Go语法基础,操作系统并发知识	7450	219.00	0.00
14	4	Redis 高级应用	Redis,缓存设计,分布式锁,高并发,哨兵集群	后端技术专家	2	数据结构、持久化、集群、缓存设计模式	MySQL数据库,Java或后端开发基础	8920	139.00	0.00
15	8	网络安全入门	网络安全,Web安全,渗透测试,OWASP,安全攻防	网络安全工程师	1	Web安全、渗透测试、安全防护	计算机网络基础,Linux基础	6540	199.00	0.00
16	1	Next.js 全栈开发	Next.js,React,SSR服务端渲染,全栈开发,SEO优化	全栈开发工程师	2	SSR、SSG、API Routes、部署优化	React开发基础,Node.js基础	5680	279.00	0.00
17	2	Rust 系统编程	Rust,内存安全,所有权,系统编程,底层架构	系统底层架构师	3	所有权、生命周期、并发、系统编程	C/C++编程基础或深入系统开发	4320	329.00	0.00
18	7	数据可视化	数据可视化,ECharts,D3.js,数据大屏,Canvas	数据前端工程师	2	ECharts、D3.js、数据大屏设计	JavaScript基础,Web前端开发	7890	179.00	0.00
19	9	Unity 游戏开发	Unity,C#,3D游戏开发,游戏物理引擎,着色器	游戏开发工程师	2	C#基础、Unity编辑器、2D/3D游戏开发	C#编程基础,面向对象设计	5670	299.00	0.00
20	10	Solidity 智能合约	Solidity,以太坊,智能合约,Web3,去中心化应用	区块链开发工程师	3	Solidity语法、智能合约开发、DApp开发	面向对象编程,密码学基础	3450	259.00	0.00
21	1	Vue3 企业级高可用中后台管理系统实战	Vue3,TypeScript,Pinia,前端工程化,RESTful API	前端开发工程师	2	本课程围绕 Vue3 企业级高可用中后台管理系统实战 展开，系统性讲解 Vue3、TypeScript、Pinia、前端工程化、RESTful API 等核心技术栈，助力学员胜任 前端开发工程师 岗位要求。	熟练掌握常用开发语言与数据库操作	18780	0.00	4.77
22	1	React 18 全家桶与复杂业务架构设计	React18,Redux,TypeScript,前端工程化,JavaScript	资深前端工程师	2	本课程围绕 React 18 全家桶与复杂业务架构设计 展开，系统性讲解 React18、Redux、TypeScript、前端工程化、JavaScript 等核心技术栈，助力学员胜任 资深前端工程师 岗位要求。	熟练掌握常用开发语言与数据库操作	2781	199.00	4.78
23	1	Next.js 14 服务端渲染 (SSR) 全栈实战	Next.js,React18,TypeScript,Node.js,RESTful API	全栈开发工程师	2	本课程围绕 Next.js 14 服务端渲染 (SSR) 全栈实战 展开，系统性讲解 Next.js、React18、TypeScript、Node.js、RESTful API 等核心技术栈，助力学员胜任 全栈开发工程师 岗位要求。	熟练掌握常用开发语言与数据库操作	18545	399.00	4.90
24	1	TypeScript 类型系统深度进阶与底层剖析	TypeScript,JavaScript,前端工程化	资深前端工程师	3	本课程围绕 TypeScript 类型系统深度进阶与底层剖析 展开，系统性讲解 TypeScript、JavaScript、前端工程化 等核心技术栈，助力学员胜任 资深前端工程师 岗位要求。	具备 2 年以上中大型系统开发与架构实战经验	17992	199.00	4.86
25	1	现代 Web 前端性能极致优化实战	前端工程化,JavaScript,HTML/CSS,Vue3,React18	前端技术专家	3	本课程围绕 现代 Web 前端性能极致优化实战 展开，系统性讲解 前端工程化、JavaScript、HTML/CSS、Vue3、React18 等核心技术栈，助力学员胜任 前端技术专家 岗位要求。	具备 2 年以上中大型系统开发与架构实战经验	13502	299.00	4.86
26	1	Three.js 与 WebGL 3D 智慧城市可视化开发	JavaScript,数据可视化,Three.js,WebGL,前端工程化	前端可视化工程师	3	本课程围绕 Three.js 与 WebGL 3D 智慧城市可视化开发 展开，系统性讲解 JavaScript、数据可视化、Three.js、WebGL、前端工程化 等核心技术栈，助力学员胜任 前端可视化工程师 岗位要求。	具备 2 年以上中大型系统开发与架构实战经验	8392	499.00	4.87
27	1	ECharts 与 D3.js 亿级数据大屏可视化实战	ECharts,数据可视化,JavaScript,Vue3	数据可视化工程师	2	本课程围绕 ECharts 与 D3.js 亿级数据大屏可视化实战 展开，系统性讲解 ECharts、数据可视化、JavaScript、Vue3 等核心技术栈，助力学员胜任 数据可视化工程师 岗位要求。	熟练掌握常用开发语言与数据库操作	6634	159.00	4.91
28	1	Node.js 高性能后端开发与底层原理探秘	Node.js,Express,RESTful API,MongoDB,高并发	全栈开发工程师	2	本课程围绕 Node.js 高性能后端开发与底层原理探秘 展开，系统性讲解 Node.js、Express、RESTful API、MongoDB、高并发 等核心技术栈，助力学员胜任 全栈开发工程师 岗位要求。	熟练掌握常用开发语言与数据库操作	11510	129.00	4.95
